ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Democratic,11/19/2020 12:00:00 AM,$0.90,$0.91,$0.87,$0.89,68586
Republican,11/20/2020 12:00:00 AM,$0.11,$0.14,$0.11,$0.11,34252
Democratic,11/20/2020 12:00:00 AM,$0.89,$0.91,$0.87,$0.91,42912
Republican,11/21/2020 12:00:00 AM,$0.11,$0.13,$0.11,$0.12,22119
Democratic,11/21/2020 12:00:00 AM,$0.91,$0.91,$0.89,$0.90,37989
Republican,11/22/2020 12:00:00 AM,$0.12,$0.13,$0.10,$0.12,33962
Democratic,11/22/2020 12:00:00 AM,$0.90,$0.90,$0.89,$0.90,23127
Republican,11/23/2020 12:00:00 AM,$0.12,$0.12,$0.05,$0.07,84231
Democratic,11/23/2020 12:00:00 AM,$0.90,$0.96,$0.89,$0.93,90455
Republican,11/24/2020 12:00:00 AM,$0.07,$0.11,$0.05,$0.10,113305
Democratic,11/24/2020 12:00:00 AM,$0.93,$0.95,$0.90,$0.92,102299
Republican,11/25/2020 12:00:00 AM,$0.10,$0.11,$0.07,$0.10,43548
Democratic,11/25/2020 12:00:00 AM,$0.92,$0.92,$0.89,$0.90,65450
Republican,11/26/2020 12:00:00 AM,$0.10,$0.12,$0.09,$0.10,15980
Democratic,11/26/2020 12:00:00 AM,$0.90,$0.91,$0.89,$0.91,26402
Republican,11/27/2020 12:00:00 AM,$0.10,$0.15,$0.09,$0.12,31005
Democratic,11/27/2020 12:00:00 AM,$0.91,$0.91,$0.88,$0.88,57750
Republican,11/28/2020 12:00:00 AM,$0.12,$0.14,$0.11,$0.11,14511
Democratic,11/28/2020 12:00:00 AM,$0.88,$0.90,$0.88,$0.89,19976
Republican,11/29/2020 12:00:00 AM,$0.11,$0.13,$0.09,$0.10,40848
Democratic,11/29/2020 12:00:00 AM,$0.89,$0.90,$0.88,$0.90,38093
Republican,11/30/2020 12:00:00 AM,$0.10,$0.12,$0.09,$0.10,53771
Democratic,11/30/2020 12:00:00 AM,$0.90,$0.92,$0.89,$0.90,127706
Republican,12/1/2020 12:00:00 AM,$0.10,$0.11,$0.09,$0.11,32549
Democratic,12/1/2020 12:00:00 AM,$0.90,$0.92,$0.90,$0.91,26563
Republican,12/2/2020 12:00:00 AM,$0.11,$0.12,$0.09,$0.11,38105
Democratic,12/2/2020 12:00:00 AM,$0.91,$0.92,$0.89,$0.90,56733
Republican,12/3/2020 12:00:00 AM,$0.11,$0.12,$0.10,$0.12,37508
Democratic,12/3/2020 12:00:00 AM,$0.90,$0.91,$0.89,$0.89,47228
Republican,12/4/2020 12:00:00 AM,$0.12,$0.14,$0.11,$0.11,35775
Democratic,12/4/2020 12:00:00 AM,$0.89,$0.90,$0.87,$0.89,60026
Republican,12/5/2020 12:00:00 AM,$0.11,$0.12,$0.10,$0.11,20287
Democratic,12/5/2020 12:00:00 AM,$0.89,$0.90,$0.88,$0.89,20147
Republican,12/6/2020 12:00:00 AM,$0.11,$0.12,$0.10,$0.12,31609
Democratic,12/6/2020 12:00:00 AM,$0.89,$0.90,$0.89,$0.89,37786
Republican,12/7/2020 12:00:00 AM,$0.12,$0.12,$0.10,$0.11,22955
Democratic,12/7/2020 12:00:00 AM,$0.89,$0.90,$0.88,$0.89,43585
Republican,12/8/2020 12:00:00 AM,$0.11,$0.12,$0.10,$0.10,45922
Democratic,12/8/2020 12:00:00 AM,$0.89,$0.91,$0.88,$0.90,52635
Republican,12/9/2020 12:00:00 AM,$0.10,$0.12,$0.09,$0.12,63248
Democratic,12/9/2020 12:00:00 AM,$0.90,$0.92,$0.90,$0.91,73170
