ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,11/5/2020 12:00:00 AM,$0.17,$0.36,$0.07,$0.12,364053
Democratic,11/5/2020 12:00:00 AM,$0.86,$0.94,$0.75,$0.92,536114
Republican,11/6/2020 12:00:00 AM,$0.12,$0.16,$0.05,$0.10,459633
Democratic,11/6/2020 12:00:00 AM,$0.92,$0.96,$0.88,$0.91,549920
Republican,11/7/2020 12:00:00 AM,$0.10,$0.13,$0.06,$0.10,274737
Democratic,11/7/2020 12:00:00 AM,$0.91,$0.96,$0.87,$0.91,344138
Republican,11/8/2020 12:00:00 AM,$0.10,$0.13,$0.08,$0.12,136459
Democratic,11/8/2020 12:00:00 AM,$0.91,$0.93,$0.89,$0.89,198510
Republican,11/9/2020 12:00:00 AM,$0.12,$0.31,$0.11,$0.19,262296
Democratic,11/9/2020 12:00:00 AM,$0.89,$0.90,$0.81,$0.83,223444
Republican,11/10/2020 12:00:00 AM,$0.19,$0.21,$0.16,$0.17,132862
Democratic,11/10/2020 12:00:00 AM,$0.83,$0.87,$0.81,$0.86,130101
Republican,11/11/2020 12:00:00 AM,$0.17,$0.19,$0.14,$0.15,97674
Democratic,11/11/2020 12:00:00 AM,$0.86,$0.88,$0.83,$0.87,126079
Republican,11/12/2020 12:00:00 AM,$0.15,$0.17,$0.12,$0.15,100685
Democratic,11/12/2020 12:00:00 AM,$0.87,$0.91,$0.85,$0.87,124474
Republican,11/13/2020 12:00:00 AM,$0.15,$0.17,$0.10,$0.11,88781
Democratic,11/13/2020 12:00:00 AM,$0.87,$0.92,$0.84,$0.90,134414
Republican,11/14/2020 12:00:00 AM,$0.11,$0.13,$0.10,$0.12,43838
Democratic,11/14/2020 12:00:00 AM,$0.90,$0.90,$0.88,$0.89,51744
Republican,11/15/2020 12:00:00 AM,$0.12,$0.14,$0.11,$0.13,33411
Democratic,11/15/2020 12:00:00 AM,$0.89,$0.90,$0.87,$0.89,53883
Republican,11/16/2020 12:00:00 AM,$0.13,$0.16,$0.12,$0.15,52152
Democratic,11/16/2020 12:00:00 AM,$0.89,$0.89,$0.85,$0.88,65189
Republican,11/17/2020 12:00:00 AM,$0.15,$0.16,$0.11,$0.12,50929
Democratic,11/17/2020 12:00:00 AM,$0.88,$0.91,$0.86,$0.90,53428
Republican,11/18/2020 12:00:00 AM,$0.12,$0.13,$0.10,$0.11,41484
Democratic,11/18/2020 12:00:00 AM,$0.90,$0.92,$0.89,$0.91,64679
Republican,11/19/2020 12:00:00 AM,$0.11,$0.18,$0.10,$0.13,74666
Democratic,11/19/2020 12:00:00 AM,$0.91,$0.92,$0.85,$0.88,80048
Republican,11/20/2020 12:00:00 AM,$0.13,$0.15,$0.13,$0.13,34070
Democratic,11/20/2020 12:00:00 AM,$0.88,$0.89,$0.87,$0.89,35676
Republican,11/21/2020 12:00:00 AM,$0.13,$0.14,$0.12,$0.13,23755
Democratic,11/21/2020 12:00:00 AM,$0.89,$0.90,$0.88,$0.89,44300
Republican,11/22/2020 12:00:00 AM,$0.13,$0.14,$0.11,$0.11,42851
Democratic,11/22/2020 12:00:00 AM,$0.89,$0.90,$0.88,$0.90,50185
Republican,11/23/2020 12:00:00 AM,$0.11,$0.12,$0.04,$0.09,118576
Democratic,11/23/2020 12:00:00 AM,$0.90,$0.96,$0.89,$0.92,120262
Republican,11/24/2020 12:00:00 AM,$0.09,$0.11,$0.05,$0.09,150281
Democratic,11/24/2020 12:00:00 AM,$0.92,$0.96,$0.89,$0.92,184723
Republican,11/25/2020 12:00:00 AM,$0.09,$0.14,$0.08,$0.12,91952
Democratic,11/25/2020 12:00:00 AM,$0.92,$0.93,$0.88,$0.88,95313
Republican,11/26/2020 12:00:00 AM,$0.12,$0.14,$0.12,$0.13,42510
Democratic,11/26/2020 12:00:00 AM,$0.88,$0.89,$0.87,$0.88,34726
Republican,11/27/2020 12:00:00 AM,$0.13,$0.15,$0.11,$0.15,37738
Democratic,11/27/2020 12:00:00 AM,$0.88,$0.90,$0.87,$0.88,38764
Republican,11/28/2020 12:00:00 AM,$0.15,$0.15,$0.12,$0.14,40314
Democratic,11/28/2020 12:00:00 AM,$0.88,$0.89,$0.86,$0.88,56165
Republican,11/29/2020 12:00:00 AM,$0.14,$0.15,$0.12,$0.13,17034
Democratic,11/29/2020 12:00:00 AM,$0.88,$0.90,$0.88,$0.90,37567
Republican,11/30/2020 12:00:00 AM,$0.13,$0.13,$0.10,$0.11,23720
Democratic,11/30/2020 12:00:00 AM,$0.90,$0.91,$0.89,$0.91,24222
Republican,12/1/2020 12:00:00 AM,$0.11,$0.12,$0.10,$0.10,35969
