ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Democratic,11/13/2020 12:00:00 AM,$0.90,$0.93,$0.88,$0.91,94849
Republican,11/14/2020 12:00:00 AM,$0.10,$0.11,$0.08,$0.11,74228
Democratic,11/14/2020 12:00:00 AM,$0.91,$0.92,$0.89,$0.91,73409
Republican,11/15/2020 12:00:00 AM,$0.11,$0.13,$0.10,$0.11,44167
Democratic,11/15/2020 12:00:00 AM,$0.91,$0.91,$0.89,$0.90,59460
Republican,11/16/2020 12:00:00 AM,$0.11,$0.16,$0.11,$0.12,45673
Democratic,11/16/2020 12:00:00 AM,$0.90,$0.90,$0.86,$0.88,58243
Republican,11/17/2020 12:00:00 AM,$0.12,$0.16,$0.09,$0.09,146113
Democratic,11/17/2020 12:00:00 AM,$0.88,$0.93,$0.86,$0.91,142440
Republican,11/18/2020 12:00:00 AM,$0.09,$0.12,$0.08,$0.12,73867
Democratic,11/18/2020 12:00:00 AM,$0.91,$0.94,$0.89,$0.90,108591
Republican,11/19/2020 12:00:00 AM,$0.12,$0.18,$0.11,$0.13,68495
Democratic,11/19/2020 12:00:00 AM,$0.90,$0.90,$0.86,$0.87,66840
Republican,11/20/2020 12:00:00 AM,$0.13,$0.14,$0.11,$0.11,45524
Democratic,11/20/2020 12:00:00 AM,$0.87,$0.91,$0.87,$0.90,61659
Republican,11/21/2020 12:00:00 AM,$0.11,$0.14,$0.11,$0.13,43666
Democratic,11/21/2020 12:00:00 AM,$0.90,$0.90,$0.88,$0.89,34031
Republican,11/22/2020 12:00:00 AM,$0.13,$0.14,$0.10,$0.11,43662
Democratic,11/22/2020 12:00:00 AM,$0.89,$0.90,$0.87,$0.90,56034
Republican,11/23/2020 12:00:00 AM,$0.11,$0.12,$0.05,$0.08,178226
Democratic,11/23/2020 12:00:00 AM,$0.90,$0.96,$0.88,$0.92,243417
Republican,11/24/2020 12:00:00 AM,$0.08,$0.10,$0.05,$0.08,73773
Democratic,11/24/2020 12:00:00 AM,$0.92,$0.95,$0.91,$0.92,105634
Republican,11/25/2020 12:00:00 AM,$0.08,$0.11,$0.07,$0.09,58012
Democratic,11/25/2020 12:00:00 AM,$0.92,$0.93,$0.90,$0.92,54933
Republican,11/26/2020 12:00:00 AM,$0.09,$0.15,$0.09,$0.12,43389
Democratic,11/26/2020 12:00:00 AM,$0.92,$0.92,$0.89,$0.90,29403
Republican,11/27/2020 12:00:00 AM,$0.12,$0.12,$0.10,$0.11,11351
Democratic,11/27/2020 12:00:00 AM,$0.90,$0.93,$0.88,$0.91,44481
Republican,11/28/2020 12:00:00 AM,$0.11,$0.12,$0.10,$0.11,26039
Democratic,11/28/2020 12:00:00 AM,$0.91,$0.91,$0.88,$0.89,32852
Republican,11/29/2020 12:00:00 AM,$0.11,$0.12,$0.10,$0.10,11566
Democratic,11/29/2020 12:00:00 AM,$0.89,$0.91,$0.89,$0.91,30022
Republican,11/30/2020 12:00:00 AM,$0.10,$0.11,$0.08,$0.10,31085
Democratic,11/30/2020 12:00:00 AM,$0.91,$0.91,$0.89,$0.91,29586
Republican,12/1/2020 12:00:00 AM,$0.10,$0.11,$0.09,$0.09,31490
Democratic,12/1/2020 12:00:00 AM,$0.91,$0.92,$0.90,$0.91,41074
Republican,12/2/2020 12:00:00 AM,$0.09,$0.11,$0.09,$0.10,49145
