ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,11/20/2020 12:00:00 AM,$0.12,$0.13,$0.10,$0.11,50733
Democratic,11/20/2020 12:00:00 AM,$0.89,$0.91,$0.88,$0.91,72570
Republican,11/21/2020 12:00:00 AM,$0.11,$0.12,$0.10,$0.11,60911
Democratic,11/21/2020 12:00:00 AM,$0.91,$0.92,$0.90,$0.90,34084
Republican,11/22/2020 12:00:00 AM,$0.11,$0.12,$0.09,$0.11,45210
Democratic,11/22/2020 12:00:00 AM,$0.90,$0.92,$0.89,$0.91,49433
Republican,11/23/2020 12:00:00 AM,$0.11,$0.11,$0.06,$0.08,109161
Democratic,11/23/2020 12:00:00 AM,$0.91,$0.95,$0.90,$0.92,98687
Republican,11/24/2020 12:00:00 AM,$0.08,$0.10,$0.05,$0.09,136876
Democratic,11/24/2020 12:00:00 AM,$0.92,$0.96,$0.91,$0.93,102144
Republican,11/25/2020 12:00:00 AM,$0.09,$0.13,$0.08,$0.12,110811
Democratic,11/25/2020 12:00:00 AM,$0.93,$0.94,$0.89,$0.90,95321
Republican,11/26/2020 12:00:00 AM,$0.12,$0.16,$0.09,$0.11,58792
Democratic,11/26/2020 12:00:00 AM,$0.90,$0.92,$0.89,$0.90,40566
Republican,11/27/2020 12:00:00 AM,$0.11,$0.13,$0.10,$0.12,51993
Democratic,11/27/2020 12:00:00 AM,$0.90,$0.91,$0.88,$0.89,60003
Republican,11/28/2020 12:00:00 AM,$0.12,$0.14,$0.11,$0.11,36570
Democratic,11/28/2020 12:00:00 AM,$0.89,$0.90,$0.88,$0.90,47231
Republican,11/29/2020 12:00:00 AM,$0.11,$0.12,$0.10,$0.11,35059
Democratic,11/29/2020 12:00:00 AM,$0.90,$0.91,$0.88,$0.91,61242
Republican,11/30/2020 12:00:00 AM,$0.11,$0.12,$0.09,$0.09,46145
Democratic,11/30/2020 12:00:00 AM,$0.91,$0.92,$0.90,$0.91,38255
Republican,12/1/2020 12:00:00 AM,$0.09,$0.11,$0.09,$0.10,55570
Democratic,12/1/2020 12:00:00 AM,$0.91,$0.92,$0.89,$0.90,68127
Republican,12/2/2020 12:00:00 AM,$0.10,$0.12,$0.08,$0.12,57231
Democratic,12/2/2020 12:00:00 AM,$0.90,$0.92,$0.89,$0.89,58025
Republican,12/3/2020 12:00:00 AM,$0.12,$0.12,$0.09,$0.12,54066
Democratic,12/3/2020 12:00:00 AM,$0.89,$0.91,$0.88,$0.89,34698
Republican,12/4/2020 12:00:00 AM,$0.12,$0.15,$0.09,$0.11,80610
Democratic,12/4/2020 12:00:00 AM,$0.89,$0.92,$0.88,$0.91,77875
Republican,12/5/2020 12:00:00 AM,$0.11,$0.12,$0.10,$0.11,34579
Democratic,12/5/2020 12:00:00 AM,$0.91,$0.92,$0.90,$0.90,28268
Republican,12/6/2020 12:00:00 AM,$0.11,$0.12,$0.10,$0.10,38247
Democratic,12/6/2020 12:00:00 AM,$0.90,$0.92,$0.90,$0.91,47442
Republican,12/7/2020 12:00:00 AM,$0.10,$0.11,$0.09,$0.10,26027
Democratic,12/7/2020 12:00:00 AM,$0.91,$0.92,$0.90,$0.91,32805
Republican,12/8/2020 12:00:00 AM,$0.10,$0.11,$0.09,$0.09,50979
Democratic,12/8/2020 12:00:00 AM,$0.91,$0.92,$0.90,$0.92,47167
Republican,12/9/2020 12:00:00 AM,$0.09,$0.10,$0.05,$0.08,106625
Democratic,12/9/2020 12:00:00 AM,$0.92,$0.95,$0.91,$0.91,75264
Republican,12/10/2020 12:00:00 AM,$0.08,$0.10,$0.05,$0.08,110462
Democratic,12/10/2020 12:00:00 AM,$0.91,$0.96,$0.91,$0.94,139803
Republican,12/11/2020 12:00:00 AM,$0.08,$0.08,$0.02,$0.04,118599
Democratic,12/11/2020 12:00:00 AM,$0.94,$0.98,$0.94,$0.96,104341
Republican,12/12/2020 12:00:00 AM,$0.04,$0.06,$0.03,$0.06,79439
Democratic,12/12/2020 12:00:00 AM,$0.96,$0.98,$0.96,$0.96,88668
Republican,12/13/2020 12:00:00 AM,$0.06,$0.06,$0.04,$0.05,35764
Democratic,12/13/2020 12:00:00 AM,$0.96,$0.96,$0.95,$0.95,55296
Republican,12/14/2020 12:00:00 AM,$0.05,$0.15,$0.04,$0.06,186432
Democratic,12/14/2020 12:00:00 AM,$0.95,$0.97,$0.90,$0.94,197575
Republican,12/15/2020 12:00:00 AM,$0.06,$0.06,$0.05,$0.06,918
Democratic,12/15/2020 12:00:00 AM,$0.94,$0.96,$0.94,$0.96,884
